Time;Temperature;ProcessTemperature;AgentType;AgentFlow;SampleType;CatalystType;CatalystRatio;Hydrogen
1;10;700;Air;0.05;TWTS;No Catalyst;0;0
2;11;700;Air;0.05;TWTS;No Catalyst;0;0
3;12;700;Air;0.05;TWTS;No Catalyst;0;0
4;16;700;Air;0.05;TWTS;No Catalyst;0;0
5;25;700;Air;0.05;TWTS;No Catalyst;0;0
6;48;700;Air;0.05;TWTS;No Catalyst;0;0
7;70;700;Air;0.05;TWTS;No Catalyst;0;0
8;102;700;Air;0.05;TWTS;No Catalyst;0;0
9;140;700;Air;0.05;TWTS;No Catalyst;0;0
10;185;700;Air;0.05;TWTS;No Catalyst;0;0
11;290;700;Air;0.05;TWTS;No Catalyst;0;0
12;350;700;Air;0.05;TWTS;No Catalyst;0;0
13;402;700;Air;0.05;TWTS;No Catalyst;0;0
14;453;700;Air;0.05;TWTS;No Catalyst;0;1
15;513;700;Air;0.05;TWTS;No Catalyst;0;1
16;540;700;Air;0.05;TWTS;No Catalyst;0;1
17;575;700;Air;0.05;TWTS;No Catalyst;0;1
18;617;700;Air;0.05;TWTS;No Catalyst;0;1
19;632;700;Air;0.05;TWTS;No Catalyst;0;1
20;656;700;Air;0.05;TWTS;No Catalyst;0;2
21;680;700;Air;0.05;TWTS;No Catalyst;0;3
22;700;700;Air;0.05;TWTS;No Catalyst;0;5
23;700;700;Air;0.05;TWTS;No Catalyst;0;7
24;700;700;Air;0.05;TWTS;No Catalyst;0;10
25;700;700;Air;0.05;TWTS;No Catalyst;0;12
26;700;700;Air;0.05;TWTS;No Catalyst;0;14
27;700;700;Air;0.05;TWTS;No Catalyst;0;16
28;700;700;Air;0.05;TWTS;No Catalyst;0;16
29;700;700;Air;0.05;TWTS;No Catalyst;0;16
30;700;700;Air;0.05;TWTS;No Catalyst;0;15
31;700;700;Air;0.05;TWTS;No Catalyst;0;14
32;700;700;Air;0.05;TWTS;No Catalyst;0;14
33;700;700;Air;0.05;TWTS;No Catalyst;0;15
34;700;700;Air;0.05;TWTS;No Catalyst;0;17
35;700;700;Air;0.05;TWTS;No Catalyst;0;17
36;700;700;Air;0.05;TWTS;No Catalyst;0;16
37;700;700;Air;0.05;TWTS;No Catalyst;0;14
38;700;700;Air;0.05;TWTS;No Catalyst;0;12
39;700;700;Air;0.05;TWTS;No Catalyst;0;10
40;700;700;Air;0.05;TWTS;No Catalyst;0;10
41;700;700;Air;0.05;TWTS;No Catalyst;0;10
42;700;700;Air;0.05;TWTS;No Catalyst;0;10
43;700;700;Air;0.05;TWTS;No Catalyst;0;9
44;700;700;Air;0.05;TWTS;No Catalyst;0;7
45;700;700;Air;0.05;TWTS;No Catalyst;0;7
46;700;700;Air;0.05;TWTS;No Catalyst;0;7
47;700;700;Air;0.05;TWTS;No Catalyst;0;7
48;700;700;Air;0.05;TWTS;No Catalyst;0;8
49;700;700;Air;0.05;TWTS;No Catalyst;0;7
50;700;700;Air;0.05;TWTS;No Catalyst;0;7
51;700;700;Air;0.05;TWTS;No Catalyst;0;6
52;700;700;Air;0.05;TWTS;No Catalyst;0;6
1;10;700;Air;0.1;TWTS;No Catalyst;0;0
2;11;700;Air;0.1;TWTS;No Catalyst;0;0
3;12;700;Air;0.1;TWTS;No Catalyst;0;0
4;16;700;Air;0.1;TWTS;No Catalyst;0;0
5;25;700;Air;0.1;TWTS;No Catalyst;0;0
6;48;700;Air;0.1;TWTS;No Catalyst;0;0
7;70;700;Air;0.1;TWTS;No Catalyst;0;0
8;102;700;Air;0.1;TWTS;No Catalyst;0;0
9;140;700;Air;0.1;TWTS;No Catalyst;0;0
10;185;700;Air;0.1;TWTS;No Catalyst;0;0
11;290;700;Air;0.1;TWTS;No Catalyst;0;0
12;350;700;Air;0.1;TWTS;No Catalyst;0;0
13;402;700;Air;0.1;TWTS;No Catalyst;0;1
14;453;700;Air;0.1;TWTS;No Catalyst;0;1
15;513;700;Air;0.1;TWTS;No Catalyst;0;1
16;540;700;Air;0.1;TWTS;No Catalyst;0;1
17;575;700;Air;0.1;TWTS;No Catalyst;0;1
18;617;700;Air;0.1;TWTS;No Catalyst;0;2
19;632;700;Air;0.1;TWTS;No Catalyst;0;4
20;656;700;Air;0.1;TWTS;No Catalyst;0;6
21;680;700;Air;0.1;TWTS;No Catalyst;0;8
22;700;700;Air;0.1;TWTS;No Catalyst;0;10
23;700;700;Air;0.1;TWTS;No Catalyst;0;12
24;700;700;Air;0.1;TWTS;No Catalyst;0;14
25;700;700;Air;0.1;TWTS;No Catalyst;0;13
26;700;700;Air;0.1;TWTS;No Catalyst;0;13
27;700;700;Air;0.1;TWTS;No Catalyst;0;13
28;700;700;Air;0.1;TWTS;No Catalyst;0;12
29;700;700;Air;0.1;TWTS;No Catalyst;0;12
30;700;700;Air;0.1;TWTS;No Catalyst;0;12
31;700;700;Air;0.1;TWTS;No Catalyst;0;12
32;700;700;Air;0.1;TWTS;No Catalyst;0;11
33;700;700;Air;0.1;TWTS;No Catalyst;0;11
34;700;700;Air;0.1;TWTS;No Catalyst;0;11
35;700;700;Air;0.1;TWTS;No Catalyst;0;11
36;700;700;Air;0.1;TWTS;No Catalyst;0;10
37;700;700;Air;0.1;TWTS;No Catalyst;0;10
38;700;700;Air;0.1;TWTS;No Catalyst;0;10
