Time,Temperature,ProcessTemperature,AgentType,AgentFlow,SampleType,CatalystType,CatalystRatio,Hydrogen,Experiment_Group
1,15,700,Air,0.05,TWTS,Marble dust,10.0,0.0,46
2,16,700,Air,0.05,TWTS,Marble dust,10.0,0.0,46
3,18,700,Air,0.05,TWTS,Marble dust,10.0,0.0,46
4,21,700,Air,0.05,TWTS,Marble dust,10.0,0.0,46
5,30,700,Air,0.05,TWTS,Marble dust,10.0,0.0,46
6,40,700,Air,0.05,TWTS,Marble dust,10.0,0.0,46
7,75,700,Air,0.05,TWTS,Marble dust,10.0,0.0,46
8,100,700,Air,0.05,TWTS,Marble dust,10.0,0.0,46
9,150,700,Air,0.05,TWTS,Marble dust,10.0,0.0,46
10,200,700,Air,0.05,TWTS,Marble dust,10.0,1.0,46
11,250,700,Air,0.05,TWTS,Marble dust,10.0,1.0,46
12,350,700,Air,0.05,TWTS,Marble dust,10.0,1.0,46
13,400,700,Air,0.05,TWTS,Marble dust,10.0,1.0,46
14,450,700,Air,0.05,TWTS,Marble dust,10.0,1.0,46
15,490,700,Air,0.05,TWTS,Marble dust,10.0,1.0,46
16,520,700,Air,0.05,TWTS,Marble dust,10.0,1.0,46
17,550,700,Air,0.05,TWTS,Marble dust,10.0,1.0,46
18,575,700,Air,0.05,TWTS,Marble dust,10.0,3.0,46
19,600,700,Air,0.05,TWTS,Marble dust,10.0,7.0,46
20,630,700,Air,0.05,TWTS,Marble dust,10.0,10.0,46
21,660,700,Air,0.05,TWTS,Marble dust,10.0,13.0,46
22,677,700,Air,0.05,TWTS,Marble dust,10.0,16.0,46
23,700,700,Air,0.05,TWTS,Marble dust,10.0,18.0,46
24,700,700,Air,0.05,TWTS,Marble dust,10.0,20.0,46
25,700,700,Air,0.05,TWTS,Marble dust,10.0,22.0,46
26,700,700,Air,0.05,TWTS,Marble dust,10.0,23.0,46
27,700,700,Air,0.05,TWTS,Marble dust,10.0,23.0,46
28,700,700,Air,0.05,TWTS,Marble dust,10.0,22.0,46
29,700,700,Air,0.05,TWTS,Marble dust,10.0,21.0,46
30,700,700,Air,0.05,TWTS,Marble dust,10.0,21.0,46
31,700,700,Air,0.05,TWTS,Marble dust,10.0,22.0,46
32,700,700,Air,0.05,TWTS,Marble dust,10.0,23.0,46
33,700,700,Air,0.05,TWTS,Marble dust,10.0,23.0,46
34,700,700,Air,0.05,TWTS,Marble dust,10.0,23.0,46
35,700,700,Air,0.05,TWTS,Marble dust,10.0,22.0,46
36,700,700,Air,0.05,TWTS,Marble dust,10.0,22.0,46
37,700,700,Air,0.05,TWTS,Marble dust,10.0,22.0,46
38,700,700,Air,0.05,TWTS,Marble dust,10.0,22.0,46
39,700,700,Air,0.05,TWTS,Marble dust,10.0,22.0,46
40,700,700,Air,0.05,TWTS,Marble dust,10.0,21.0,46
41,700,700,Air,0.05,TWTS,Marble dust,10.0,20.0,46
42,700,700,Air,0.05,TWTS,Marble dust,10.0,19.0,46
43,700,700,Air,0.05,TWTS,Marble dust,10.0,18.0,46
44,700,700,Air,0.05,TWTS,Marble dust,10.0,17.0,46
45,700,700,Air,0.05,TWTS,Marble dust,10.0,16.0,46
46,700,700,Air,0.05,TWTS,Marble dust,10.0,15.0,46
47,700,700,Air,0.05,TWTS,Marble dust,10.0,14.0,46
48,700,700,Air,0.05,TWTS,Marble dust,10.0,13.0,46
49,700,700,Air,0.05,TWTS,Marble dust,10.0,12.0,46
50,700,700,Air,0.05,TWTS,Marble dust,10.0,11.0,46
51,700,700,Air,0.05,TWTS,Marble dust,10.0,10.0,46
52,700,700,Air,0.05,TWTS,Marble dust,10.0,9.0,46
53,700,700,Air,0.05,TWTS,Marble dust,10.0,9.0,46
54,700,700,Air,0.05,TWTS,Marble dust,10.0,9.0,46
55,700,700,Air,0.05,TWTS,Marble dust,10.0,8.0,46
56,700,700,Air,0.05,TWTS,Marble dust,10.0,7.0,46
